,Unnamed: 0,text, ellekingmusic, taylorswift, torikelly, kaceymusgraves, carrieunderwood, samhuntmusic, kanyewest, sofiavergara, ladygaga, meghan_trainor, adele, justinbieber, thegrammys, kendricklamar, littlebigtown, rihanna, ddlovato, jkcorden, andradaymusic, selenagomez, brunomars, beyonce, mileycyrus, harry_styles, samhunt, theweeknd, djkhaled, realalicecooper, alabama_shakes, wizkhalifa, gwenstefani, muse, miguel, angelalessandra, chrissyteigen, kaleycuoco, elliegoulding, rwitherspoon, mslaurynhill, chrisstapleton, itzsteviewonder, michaeljackson, serayahlove, zendaya, hamilton, johnlegend, pharrel, samsmith, arianagrande, johnnydepp, llcoolj, theeagles, davegrohl, mattbellamy, nicklachey, pharrell, faithevans, annakendrick, janellemonae, kimkardashian, ciara, annawintour,sentiment
70,71, Very impressive! Watch @gwenstefani's music video shot LIVE during the #Grammys HERE: https://t.co/LkgOiA1P3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2987
71,72, .@selenagomez sizzles in red on stage at the #Grammys! https://t.co/QN996agta5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,73, So touching! Watch #TheEagles's #Grammys tribute performance to #GlennFrey HERE: https://t.co/BXNgMJHrGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
73,74, .@ToriKelly and @JamesBayMusic's performance is the reason why the #Grammys exist!!!!! https://t.co/68F5omutAs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74,75," #DaveGrohl's #Grammys red carpet look was definitely Foo! But, hey, he's a Fighter - he can wear whatever he wants! https:…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.227266666667
75,76, .@littlebigtown's #Grammys performance was SOOOOO GOOD!!!!!! https://t.co/V4CL2GiOmr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,77, #JohnnyDepp and #AmberHeard get their rock star on at the #Grammys https://t.co/osg9ElS4rx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
77,78, .@Muse singer #MattBellamy brought his new #KateHudson lookalike to the #Grammys! https://t.co/iLP3DmnBLk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
78,79, Watch @itzStevieWonder and @PTXofficial's aca-awesome #Grammys performance HERE: https://t.co/9okRaVvSIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
79,80, .@Miguel always looks so fly!!!!!! #Grammys https://t.co/xZWRWb78lE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
80,81, So nice to see #NickLachey and the lovely #VanessaLachey at the #Grammys! Takes us back to early 2000s! https://t.co/nVhty…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.267066666667
81,82, What do YOU think about #Pharrell's blonde hair? See it HERE: https://t.co/rMVgIfpST5 #Grammys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
82,83, Relive @ddlovato's vocals and the amazing @JohnLegend's #Grammys tribute performance to @LionelRichie HERE: https://t.co/w…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859
83,84, #FaithEvans does her best #CruellaDeVille at the #Grammys! https://t.co/AzZeyvw2Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3348
84,85, Easily one of the best of the night! Watch @AndraDayMusic and @elliegoulding's #Grammys performance HERE: https://t.co/VdC…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392
85,86, Country's had a big night at the #Grammys! Watch the kick ass performance by @carrieunderwood and @SamHuntMusic HERE https…,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27115
86,87," #AnnaKendrick kept it basic, pitches! #Grammys https://t.co/AZJLuWeAjK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
87,88, .@MichaelJackson would approve of @theweeknd's #Grammys performance! Watch it HERE: https://t.co/XLSBNAYkYE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
88,89, Watch @taylorswift13's confident and confetti-filled #Grammys opening performance HERE: https://t.co/zTbMoR5nvH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4939
89,90, #JanelleMonae wears more and MORE at the #Grammys! https://t.co/Ah0Cq4OAVi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
90,91," .@AngelAlessandra looks like.. well, the supermodel she is at the #Grammys! Gorgeous, as per usual! https://t.co/BWT94LdUlz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24645
91,92, .@Meghan_Trainor hits a fashion HOMERUN at the #Grammys!! https://t.co/5CKMXnl3a8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
92,93, #KimKardashian or #ChrissyTeigein: Who did it better??? https://t.co/4HhpLSg9gr #Grammys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2665
93,94, .@JustinBieber and his baby moustache rock the #Grammys! https://t.co/VhGrCeGb0V,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
94,95," Sorry, #ArianaGrande. No! https://t.co/dSquIUCo85 #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145566666667
95,96, .@LadyGaGa in Bowie drag is a... HIT! Total winner!! #Grammys https://t.co/qKWm42Hn9u,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09095
96,97," If #Ciara isn't careful, she may have a pussy slip at the #Grammys! https://t.co/DQyBT2LNxD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.09335
97,98, It's official. @chrissyteigen at the #Grammys is the most stylish pregnant woman EVER!!! https://t.co/0zzyHVbECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
98,99, .@justinbieber and @JKCorden do a carpool karaoke on the way to the #Grammys!! Watch HERE: https://t.co/7BTVAi8lOF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
99,100, .@SerayahLove is channeling Good Girl Gone Bad era @Rihanna - and we love it!!! https://t.co/8v5hjvv8Yb #Grammys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222633333333
100,101, .@littlebigtown make a statement at the #Grammys - a chic one!!! https://t.co/ZSAac84zb3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1515
101,102, .@ddlovato rocks some fierce extensions and goes for sexy and sophisticated AND edgy in black at the #Grammys! https://t.c…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269
102,103, .@theweeknd and @bellahadid are the hottest couple at the #Grammys!!! https://t.co/SlW9BHfF56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
103,104, .@kaleycuoco just outshone most of the musicians at the #Grammys! She killed this jumpsuit look!!! https://t.co/qaA36jE6tx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1872
104,105, .@elliegoulding is soft and pretty in pink and SEXY AF!!!!! https://t.co/GqLaComnnW #Grammys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286366666667
105,106, .@ADELE!!!!!!!!!!!!! https://t.co/D6FhbIhLPf #Grammys,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
106,107, #AnnaWintour approves of #TaylorSwift's #Grammys hair! https://t.co/OlbR48eM9g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2287
107,108,".@KendrickLamar was THE BEST #Grammys performer, right? My special Grammys podcast out now! https://t.co/b9XIjsgTSn
https://t.co/vhJ1ko4aGv",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292475
108,109,"I can’t stop thinking about #Adele's problem-plagued #Grammys performance! All my thoughts: https://t.co/b9XIjsgTSn
https://t.co/aoBqvetrmk",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17975
